fmun_cod;fmun;ano;mes;regiao;hom_doloso;lesao_corp_morte;latrocinio;hom_por_interv_policial;estupro;roubos;furtos;sequestro_relampago;estelionato;trafico_drogas
3304805;São Fidélis;2014;3;Interior;0;0;0;0;1;3;19;0;1;9
3304904;São Gonçalo;2014;3;Grande Niterói;36;1;0;6;32;1273;553;3;112;71
3305000;São João da Barra;2014;3;Interior;0;0;0;0;2;19;57;0;1;1
3305109;São João de Meriti;2014;3;Baixada Fluminense;26;0;0;1;17;621;269;2;74;17
3305133;São José de Ubá;2014;3;Interior;0;0;0;0;0;0;0;0;0;0
3305158;São José do Vale do Rio Preto;2014;3;Interior;0;0;0;0;1;1;6;0;0;2
3305208;São Pedro da Aldeia;2014;3;Interior;3;0;0;0;0;23;70;0;3;3
3305307;São Sebastião do Alto;2014;3;Interior;0;0;0;0;0;1;2;0;0;0
3305406;Sapucaia;2014;3;Interior;0;0;0;0;0;0;7;0;2;2
3305505;Saquarema;2014;3;Interior;1;0;0;0;4;19;69;0;15;3
3305554;Seropédica;2014;3;Baixada Fluminense;7;0;0;0;4;28;33;0;3;13
3305604;Silva Jardim;2014;3;Interior;0;0;0;0;2;9;11;0;2;0
3305703;Sumidouro;2014;3;Interior;0;0;0;0;1;0;1;0;0;0
3305752;Tanguá;2014;3;Interior;0;0;0;0;0;18;24;0;3;0
3305802;Teresópolis;2014;3;Interior;0;0;0;0;3;6;100;0;9;13
3305901;Trajano de Moraes;2014;3;Interior;0;0;0;0;1;0;2;0;0;0
3306008;Três Rios;2014;3;Interior;0;0;0;0;2;5;53;0;5;10
3306107;Valença;2014;3;Interior;3;0;0;0;0;3;17;0;1;6
3306156;Varre-Sai;2014;3;Interior;0;0;0;0;0;0;0;0;0;0
3306206;Vassouras;2014;3;Interior;1;0;0;0;1;3;15;0;3;0
3306305;Volta Redonda;2014;3;Interior;4;0;0;0;9;60;193;0;44;33
3300100;Angra dos Reis;2014;4;Interior;5;0;0;0;3;26;92;0;14;21
3300159;Aperibé;2014;4;Interior;0;0;0;0;0;0;0;0;0;0
3300209;Araruama;2014;4;Interior;7;0;0;0;3;16;107;0;14;2
3300225;Areal;2014;4;Interior;0;0;0;0;0;0;0;0;0;0
3300233;Armação dos Búzios;2014;4;Interior;2;0;0;0;2;13;69;0;6;3
3300258;Arraial do Cabo;2014;4;Interior;1;0;0;0;0;1;24;0;2;5
3300308;Barra do Piraí;2014;4;Interior;0;0;0;0;1;3;30;0;5;7
