fmun_cod;fmun;ano;mes;regiao;hom_doloso;lesao_corp_morte;latrocinio;hom_por_interv_policial;estupro;roubo_transeunte;roubo_celular;roubo_em_coletivo;roubo_rua;roubo_veiculo;roubo_carga;roubo_comercio;roubo_residencia;roubo_banco;roubo_cx_eletronico;roubo_conducao_saque;roubo_apos_saque;roubo_bicicleta;outros_roubos;furto_veiculos;furto_transeunte;furto_coletivo;furto_celular;furto_bicicleta;outros_furtos
3305604;Silva Jardim;2014;1;Interior;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;10
3305703;Sumidouro;2014;1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2
3305752;Tanguá;2014;1;Interior;1;0;0;0;1;2;0;0;2;10;0;0;0;0;0;0;0;0;1;4;0;0;2;0;5
3305802;Teresópolis;2014;1;Interior;1;0;0;1;2;2;0;0;2;2;0;1;0;0;0;0;0;0;0;14;15;1;1;0;70
3305901;Trajano de Moraes;2014;1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2
3306008;Três Rios;2014;1;Interior;0;0;1;0;5;1;0;0;1;0;0;2;0;0;0;0;0;0;3;2;1;0;6;0;65
3306107;Valença;2014;1;Interior;1;0;0;0;0;1;1;1;3;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;19
3306156;Varre-Sai;2014;1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3306206;Vassouras;2014;1;Interior;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;14
3306305;Volta Redonda;2014;1;Interior;7;0;0;0;6;12;2;0;14;2;0;10;3;0;0;0;0;0;8;20;19;3;17;0;123
3300100;Angra dos Reis;2014;2;Interior;7;0;0;0;8;18;0;0;18;7;0;6;2;0;0;0;0;0;1;17;3;4;7;0;81
3300159;Aperibé;2014;2;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3300209;Araruama;2014;2;Interior;6;0;0;0;7;2;1;0;3;4;0;2;2;0;1;0;0;0;5;13;6;0;13;0;71
3300225;Areal;2014;2;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
